datetime,pr,tmmn,tmmx
2001-03-18,0.0,267.5516925048828,276.19276245117186
2001-03-19,0.0,268.5516339111328,277.8328381347656
2001-03-20,0.0,271.14150573730467,279.65296752929686
2001-03-21,0.0,267.7217083740234,278.00291015625
2001-03-22,0.0,265.54177429199217,274.7535229492187
2001-03-23,0.0,262.31207092285155,271.673017578125
2001-03-24,0.0,258.82195861816405,268.96302612304686
2001-03-25,0.0,260.2720318603515,268.1931896972656
2001-03-26,0.0,258.21150268554686,270.25340087890623
2001-03-27,0.0,261.3017230224609,276.8725720214844
2001-03-28,1.7568949532508848,270.5418377685547,281.99286987304686
2001-03-29,0.0,271.8215313720703,280.1031018066406
2001-03-30,0.6210837829113006,272.0618548583984,282.8327160644531
2001-03-31,0.0,268.04809509277345,275.0956121826171
2001-04-01,0.0,267.19768981933595,279.99506713867186
2001-04-02,0.0,268.00791137695313,278.0352893066406
2001-04-03,0.0,270.7384027099609,277.16503967285155
2001-04-04,6.014923934936523,272.9882806396484,279.4449139404297
2001-04-05,1.2883377766609192,272.5976556396484,283.6653448486328
2001-04-06,4.30741446018219,272.1676019287109,286.1652838134765
2001-04-07,10.25822956085205,273.5782568359375,281.6247564697265
2001-04-08,0.6577122163772583,270.38836608886714,282.0348797607422
2001-04-09,3.5084480237960816,272.87814270019527,280.30554260253905
2001-04-10,0.0,272.25802551269527,284.6452337646484
2001-04-11,1.932505233287811,272.9581292724609,282.5550238037109
2001-04-12,0.0,271.6777008056641,282.0348797607422
2001-04-13,1.563273661136627,273.6779473876953,283.2948614501953
2001-04-14,0.0,273.3677032470703,287.7753607177734
2001-04-15,0.0,266.6977227783203,281.3754583740234
2001-04-16,0.0,265.49801574707027,275.12561096191405
2001-04-17,0.0,265.8577545166016,279.7149945068359
2001-04-18,0.0,270.9377740478516,287.7153326416015
2001-04-19,0.0,277.9678643798828,293.29498107910155
2001-04-20,0.0,278.147915649414,290.4649639892578
2001-04-21,0.0,269.8076470947265,282.7454638671875
2001-04-22,0.9217152476310728,268.2080377197265,279.9950872802734
2001-04-23,0.0,270.58773742675777,286.2749334716797
2001-04-24,0.0,274.2377923583984,288.8752752685547
2001-04-25,0.0,276.3879693603516,297.3149700927734
2001-04-26,0.0,280.7478302001953,292.3451214599609
2001-04-27,0.0,282.1882318115234,293.98480285644524
2001-04-28,0.0,281.85787902832027,301.17529357910155
2001-04-29,0.0,285.23786376953126,299.87493713378905
2001-04-30,0.0,279.19936523437497,295.8456652832031
2001-05-01,0.0,280.6297241210937,294.96541381835937
2001-05-02,0.9546368658542632,275.33950195312497,292.39507080078124
2001-05-03,0.264999611377716,279.54943237304684,291.1658837890625
2001-05-04,0.0,280.0096069335937,292.4654748535156
2001-05-05,9.079088144302368,277.61950073242184,286.3756945800781
2001-05-06,23.91604194641113,278.979150390625,287.88573242187493
2001-05-07,0.0,275.87965270996096,287.1458947753906
2001-05-08,0.0,273.77004394531247,293.33574462890624
2001-05-09,0.0,281.06981018066404,298.8257373046875
2001-05-10,0.0,279.43004760742184,290.075185546875
2001-05-11,0.0,277.7697918701172,290.035576171875
2001-05-12,0.0,279.6197473144531,297.9154870605468
2001-05-13,0.0,283.55999145507815,300.90593505859374
2001-05-14,0.0,286.3697143554687,307.355458984375
2001-05-15,0.0,287.0798608398437,302.86574340820306
2001-05-16,2.121715278625488,282.60952148437497,295.4855578613281
2001-05-17,0.0,281.7297302246094,296.1357629394531
2001-05-18,1.73285480260849,281.35997924804684,298.0355126953125
2001-05-19,0.3166820400953292,283.69909057617184,297.355703125
2001-05-20,13.678699512481687,279.5598693847656,291.73564941406244
2001-05-21,0.0,277.88957092285153,285.4858123779297
2001-05-22,0.3706007134914398,275.78923950195315,285.3657763671875
2001-05-23,3.529812717437744,274.5594116210937,282.4553430175781
2001-05-24,0.0,275.70925292968747,288.7856066894531
2001-05-25,0.0,277.6098291015625,293.30571533203124
2001-05-26,0.0,279.95976135253903,294.34563232421874
2001-05-27,0.0,282.09950134277346,296.51548278808593
2001-05-28,0.0,281.51994201660153,296.67591369628906
2001-05-29,0.0,282.83977905273434,294.8657763671875
2001-05-30,1.610481822490692,282.4994036865234,293.31572753906244
2001-05-31,3.694301977157592,282.3350573730469,295.1448046875
2001-06-01,0.0,280.9151354980469,286.9651782226562
2001-06-02,0.0,279.18457519531245,292.81492736816404
2001-06-03,0.0,281.85516845703125,291.8950463867187
2001-06-04,0.0,282.8752185058593,291.93505737304685
2001-06-05,4.165777397155761,280.344853515625,288.73492065429684
2001-06-06,17.098176193237304,281.5746813964843,290.70509460449216
2001-06-07,0.0,282.5046716308593,295.9946759033203
2001-06-08,0.0,286.6346459960937,300.40477111816404
2001-06-09,12.186859169006349,287.3946276855468,299.54490783691404
2001-06-10,0.0,289.4246545410156,301.9848187255859
2001-06-11,15.595287475585938,285.7150622558594,297.6251208496093
2001-06-12,13.598434543609615,281.8045678710937,290.7547265625
2001-06-13,6.392343978881836,281.26520263671875,289.5047570800781
2001-06-14,13.76789270401001,281.2153369140625,288.8649584960937
2001-06-15,5.147618513107299,281.26520263671875,294.0648968505859
2001-06-16,1.2007488465309144,282.5947009277344,294.35460021972654
2001-06-17,1.7268904447555542,282.90533935546875,295.0447857666016
2001-06-18,6.3342014503479,284.2951403808594,293.6251489257813
2001-06-19,0.0,280.21503173828125,294.15492370605466
2001-06-20,2.08518856048584,282.9045739746094,296.1447106933594
2001-06-21,0.0,281.5051318359375,294.2645733642578
2001-06-22,0.0,282.0545397949218,298.0752551269531
2001-06-23,0.0,286.4348803710937,305.03491088867185
2001-06-24,3.180084881782532,291.54468017578125,306.25487121582023
2001-06-25,7.050424757003784,293.3548327636719,306.63497558593747
2001-06-26,0.4986883550882339,289.63519775390625,299.5248907470703
2001-06-27,0.0,289.0046435546875,304.835234375
2001-06-28,2.352172765731811,292.9352264404297,305.89515808105466
2001-06-29,0.0,293.8845568847656,303.42522827148434
2001-06-30,0.3023946619033813,282.4554260253906,294.94078857421874
2001-07-01,0.0,276.1656335449219,289.9109118652343
2001-07-02,2.136249599456787,282.09569763183595,299.2008392333984
2001-07-03,0.0,287.44544677734376,300.69088012695306
2001-07-04,0.0,284.49547546386714,297.49034912109374
2001-07-05,0.0,281.2255981445312,298.75072509765624
2001-07-06,2.3747837209701537,289.5353314208984,302.9299853515625
2001-07-07,0.0,286.4957220458984,304.10030395507806
2001-07-08,0.0,291.0155456542969,304.5908233642578
2001-07-09,0.0,289.8853985595703,305.81078369140624
2001-07-10,0.0,288.65557067871094,300.700126953125
2001-07-11,1.5294785141944884,286.44588684082026,294.1201708984375
2001-07-12,0.3898571193218231,285.6159613037109,299.02080566406244
2001-07-13,4.857401828765869,289.50597595214845,304.2803576660156
2001-07-14,9.042929496765137,291.23577087402344,305.0201751708984
2001-07-15,8.656802406311034,291.90574340820314,302.2005340576172
2001-07-16,1.5974359154701232,290.8358685302734,302.3309558105468
2001-07-17,2.998575105667114,292.0158612060547,306.4201892089844
2001-07-18,15.578638553619385,293.2758300781249,307.56050903320306
2001-07-19,23.979386367797847,295.59600280761714,305.5203149414062
2001-07-20,4.839760131835937,294.1459295654297,303.15041381835937
2001-07-21,15.702006092071532,292.9559143066406,302.9807666015625
2001-07-22,8.30086456298828,293.3160040283203,303.17003662109374
2001-07-23,0.0,289.0855938720703,300.40001708984374
2001-07-24,0.0,285.7956182861328,295.6806262207031
2001-07-25,0.0,284.94597839355464,298.38024169921874
2001-07-26,3.3622153425216674,287.3457562255859,299.8102447509765
2001-07-27,22.702608566284177,287.1958258056641,294.2702258300781
2001-07-28,0.0,287.32564758300776,300.43004638671874
2001-07-29,0.0,288.2753723144531,303.5105212402344
2001-07-30,0.0,291.2856060791015,303.00038940429687
2001-07-31,24.541309165954587,293.80708801269526,303.9267834472656
2001-08-01,0.0,288.1471044921875,297.1367852783203
2001-08-02,0.0,285.64726501464844,300.52660644531244
2001-08-03,0.0,290.64732849121094,306.80684692382806
2001-08-04,0.0,294.0574743652343,308.2068408203125
2001-08-05,0.4436523109674453,293.1278582763672,308.2668688964844
2001-08-06,0.0,290.1674597167969,305.4068225097656
2001-08-07,5.033577785491943,291.8273211669922,309.63686401367187
2001-08-08,10.504590492248536,292.44743835449214,307.71633178710937
