datetime,prcp,tmin,tmax
1987-02-10,0.0,-5.561007893603781,0.967924901148076
1987-02-11,0.0,-5.510632463123487,5.449940642820516
1987-02-12,0.0,-3.5641896621040674,2.5192489935004194
1987-02-13,0.0,-7.752509976564189,-1.8764426409020252
1987-02-14,0.0,-14.15517796640811,-3.6099012034683824
1987-02-15,2.956502017767533,-7.849861611490664,-3.8016600297844927
1987-02-16,0.0,-6.462035562681115,-2.6564229232049272
1987-02-17,0.0,-7.737687716842168,-1.4414822237764895
1987-02-18,0.0,-8.05666000287052,-1.6208102714874058
1987-02-19,0.0,-4.926324080101587,-0.4269565216637411
1987-02-20,0.0,-6.390237085432875,1.2557510281268784
1987-02-21,0.0,-5.310770708581675,0.2050197618928822
1987-02-22,0.0,-5.815869659303204,-0.1406719377153947
1987-02-23,0.0,-7.989110601749345,-2.660434777086431
1987-02-24,3.7693082819814263,-7.5810276123846,-3.861185765549128
1987-02-25,5.3327272155068135,-7.181837953597659,-0.420019756781725
1987-02-26,5.62895253712952,-8.615355544410674,0.0361462445458463
1987-02-27,9.168952395322297,-11.616996188408772,-7.318814264455802
1987-02-28,7.346205570009856,-11.042351745334068,-0.4129644231833959
1987-03-01,0.0,-18.934545863758437,-2.571719299192014
1987-03-02,0.0,-16.156541270229656,-4.037667985961372
1987-03-03,0.0,-14.510078899474012,1.7690118850455454
1987-03-04,0.0,-5.55768781122954,6.5299208974649785
1987-03-05,0.0,-3.894901286000791,8.07705520923901
1987-03-06,0.0,-0.6846837971521459,7.946521755263738
1987-03-07,0.0,-2.454743126164312,6.470375345629666
1987-03-08,0.0,-14.852233040474148,-2.8136560657750005
1987-03-09,0.0,-20.95843858304231,-9.209822094958762
1987-03-10,0.0,-15.746027627952486,-3.7045652607212896
1987-03-11,0.0,-8.893241124662014,-2.938004011693208
1987-03-12,0.0,-13.334604706217648,-4.154426802759586
1987-03-13,0.0,-9.35175885890312,1.3632608715724568
1987-03-14,0.0,-4.002668015570508,0.5077470281849736
1987-03-15,2.0415019367052163,-4.1193873505347325,0.3950197598326347
1987-03-16,2.376719390921913,-2.900731301590388,0.6345454500362336
1987-03-17,4.458102684247164,-3.316699541133382,-0.2187747024441425
1987-03-18,2.663083086843076,-1.6146047529966934,0.91126481652731
1987-03-19,0.0,-0.7386956629545791,3.176185841145723
1987-03-20,0.0,1.0801778991702988,4.039565206987584
1987-03-21,0.0,0.6637747009752295,4.555948710724299
1987-03-22,0.0,-0.4593478226261176,3.693715468696926
1987-03-23,0.0,-1.3003557399798755,3.720474336458289
1987-03-24,3.297035528265912,-1.5529249199765471,1.3181027598060635
1987-03-25,2.971324138019396,-2.538478224173836,2.0095849710962046
1987-03-26,0.0,-2.8927272840922056,2.779703528984734
1987-03-27,0.0,-8.831245271584734,0.3913241102408043
1987-03-28,0.0,-14.356620530365957,-6.661323996871827
1987-03-29,0.0,-13.710849880700996,-3.858221354220696
1987-03-30,0.0,-12.241897394534629,2.1956917513971743
1987-03-31,0.0,-3.931758867422111,9.42950591174039
1987-04-01,0.0,-5.422806366630222,6.231916981723468
1987-04-02,0.0,-6.068853900366621,4.97940711164663
1987-04-03,0.0,-4.022905235705168,9.953340189259045
1987-04-04,0.0,-0.98798420118249,13.104841891955951
1987-04-05,0.0,-0.0971146263182163,15.9960078646543
1987-04-06,0.0,-1.2057707931684412,18.478319661890566
1987-04-07,0.0,0.9829051492242472,20.922489524358816
1987-04-08,0.0,3.171818256378174,21.77750961017232
1987-04-09,0.0,3.428517854732016,15.359209592163328
1987-04-10,0.0,0.1432213459914852,9.825869763792738
1987-04-11,0.0,-2.0211264620656557,12.267628485035049
1987-04-12,0.0,-1.8109090544960715,12.760355894744633
1987-04-13,0.0,1.958003983431654,14.401284283800086
1987-04-14,0.0,-1.5686758801399954,17.01909134604714
1987-04-15,0.0,2.7882410702498066,22.78743095925674
1987-04-16,0.0,6.276660151161224,22.391896847208496
1987-04-17,0.0,7.599960378978563,26.62152173867809
1987-04-18,0.0,10.574802161205428,29.875375510204453
1987-04-19,0.0,12.185039456182787,27.00124495962392
1987-04-20,0.0,4.816541490818672,17.22628476968396
1987-04-21,0.0,-2.079110596490943,17.581719236411594
1987-04-22,0.0,1.5107707407163538,23.30047441565473
1987-04-23,0.0,5.323280635087386,20.16658117648641
1987-04-24,0.0,3.960711499919062,19.771285072145727
1987-04-25,0.0,4.002173983532449,24.18806300332895
1987-04-26,0.0,8.328241446272658,23.356086749804348
1987-04-27,0.0,4.094584996521238,21.5531621978217
1987-04-28,0.0,5.380889385585256,29.01551346156908
1987-04-29,0.0,6.038557284434322,23.569209860247582
1987-04-30,0.0,4.950138189104705,24.097371723340903
1987-05-01,0.0,7.773320258370501,23.942747560885586
1987-05-02,0.0,6.928557150919918,21.21213470051882
1987-05-03,0.0,7.610474368800288,20.221581176335636
1987-05-04,0.0,8.967193450852344,21.226125935791977
1987-05-05,0.0,7.224565100764096,24.99915025733676
1987-05-06,0.0,6.524367713174329,24.33231215420448
1987-05-07,0.0,6.656877351843792,25.373912897976965
1987-05-08,0.0,8.912272766173594,29.07314213839444
1987-05-09,0.0,11.473991999041893,28.469861803318672
1987-05-10,0.0,10.20719367996035,31.52003925685355
1987-05-11,0.0,5.654367532654714,25.85897191616857
1987-05-12,0.0,8.759091117165307,27.564288934700095
1987-05-13,0.0,14.249150157445976,26.003142443570223
1987-05-14,0.0,5.653992054490704,25.65391300412506
1987-05-15,0.0,13.343912974647854,32.603003354883
1987-05-16,0.0,17.276739569049578,29.376640406521883
1987-05-17,8.376640372596711,7.429585000743037,21.87531626554346
1987-05-18,0.0,6.483991997044077,10.8399804420622
1987-05-19,0.0,6.652667967227137,15.247569131285776
1987-05-20,30.43814257293822,8.042015854077846,13.282094708544465
1987-05-21,39.42677865009534,0.6025494176879702,11.197253023682848
1987-05-22,0.0,-0.955533604848055,12.746086923501236
1987-05-23,0.0,5.291857868315202,17.342904629914656
1987-05-24,4.779347844745803,9.503102715307543,15.268616876112144
1987-05-25,6.97685763864178,9.029703334386168,14.004960553919371
